id,completed,population size,population elitism,mutation change,mutation max,tournament,visited segments impact,generations,jump moves,moves,falls,jumps,time,totalTime
71,1,300,0.375,0.01,0.05,0.6,15,75,32,70,30791,574380,3404.9,524288
72,1,300,0.5,0.01,0.05,0.4,5,76,33,76,22634,599796,3787.63,524288
73,1,300,0.5,0.01,0.05,0.4,10,65,38,69,32317,518539,3021.72,524288
74,1,300,0.5,0.01,0.05,0.4,15,83,46,105,33156,857893,4883.56,524288
75,0,300,0.5,0.01,0.05,0.5,5,198,0,0,74396,1385472,9122.04,524288
76,1,300,0.5,0.01,0.05,0.5,10,35,35,67,8283,221444,1428.07,524288
77,1,300,0.5,0.01,0.05,0.5,15,110,44,102,53522,1048097,6034,524288
78,1,300,0.5,0.01,0.05,0.6,5,146,35,79,51342,1252504,7542.89,524288
79,1,300,0.5,0.01,0.05,0.6,10,48,45,77,14615,440644,2096.73,524288
80,1,300,0.5,0.01,0.05,0.6,15,85,42,90,26248,751987,4568.15,524288
81,0,350,0.25,0.01,0.05,0.4,5,144,0,0,57375,1169873,6443.96,524288
82,1,350,0.25,0.01,0.05,0.4,10,71,40,82,19466,653960,3183.03,524288
83,1,350,0.25,0.01,0.05,0.4,15,61,37,73,17577,557791,2715.58,524288
84,0,350,0.25,0.01,0.05,0.5,5,170,0,0,57326,1189497,6415.56,524288
85,0,350,0.25,0.01,0.05,0.5,10,122,0,0,71323,1148002,6158.28,524288
86,0,350,0.25,0.01,0.05,0.5,15,129,0,0,46844,1149218,5750.18,524288
87,0,350,0.25,0.01,0.05,0.6,5,178,0,0,91094,1166864,6243.23,524288
88,1,350,0.25,0.01,0.05,0.6,10,87,41,90,57604,817042,4260.41,524288
89,1,350,0.25,0.01,0.05,0.6,15,40,36,69,12424,294563,1418.31,524288
90,0,350,0.375,0.01,0.05,0.4,5,161,0,0,69236,1109538,6311.9,524288
91,1,350,0.375,0.01,0.05,0.4,10,80,38,83,32857,747761,3863.73,524288
92,1,350,0.375,0.01,0.05,0.4,15,76,39,84,22657,710496,3732.54,524288
93,1,350,0.375,0.01,0.05,0.5,5,38,33,63,7861,210804,1111.8,471147
94,1,350,0.375,0.01,0.05,0.5,10,60,43,81,19262,538999,2551.54,524288
95,1,350,0.375,0.01,0.05,0.5,15,50,34,63,15271,384789,1788.92,524288
96,1,350,0.375,0.01,0.05,0.6,5,49,32,60,13937,389927,1877.54,524288
97,1,350,0.375,0.01,0.05,0.6,10,86,38,74,34504,910866,4342.07,524288
98,1,350,0.375,0.01,0.05,0.6,15,49,50,94,22178,559640,2648.43,524288
99,1,350,0.5,0.01,0.05,0.4,5,56,47,86,19718,728034,2907.99,524288
100,1,350,0.5,0.01,0.05,0.4,10,30,46,72,21474,304346,1423.67,524288
101,1,350,0.5,0.01,0.05,0.4,15,58,38,80,18937,530513,2593.28,524288
102,1,350,0.5,0.01,0.05,0.5,5,123,36,71,59638,1106902,5334.7,524288
103,1,350,0.5,0.01,0.05,0.5,10,93,38,66,41977,749227,4148.75,524288
104,1,350,0.5,0.01,0.05,0.5,15,59,35,71,20131,536111,2537.83,524288
105,1,350,0.5,0.01,0.05,0.6,5,31,34,66,9129,249555,1245.53,524288
106,1,350,0.5,0.01,0.05,0.6,10,47,38,78,15693,435060,2141.22,524288
107,1,350,0.5,0.01,0.05,0.6,15,65,42,87,27213,719638,3711.94,524288
108,1,400,0.25,0.01,0.05,0.4,5,83,35,72,36674,743246,3597.96,524288
109,1,400,0.25,0.01,0.05,0.4,10,80,39,76,37141,802419,3670.01,524288
110,1,400,0.25,0.01,0.05,0.4,15,96,36,73,47719,1046135,4588.04,524288
111,1,400,0.25,0.01,0.05,0.5,5,74,35,84,29752,661093,3479.77,524288
112,1,400,0.25,0.01,0.05,0.5,10,48,36,64,13536,351310,1725.97,524288
113,1,400,0.25,0.01,0.05,0.5,15,58,37,72,20386,569350,2547.16,524288
114,0,400,0.25,0.01,0.05,0.6,5,123,0,0,48177,1081564,5212.64,524288
115,1,400,0.25,0.01,0.05,0.6,10,80,34,62,27586,715056,3213.41,524288
116,1,400,0.25,0.01,0.05,0.6,15,37,44,76,14258,366112,1517.59,524288
117,0,400,0.375,0.01,0.05,0.4,5,136,0,0,63293,1147678,5380.17,524288
118,1,400,0.375,0.01,0.05,0.4,10,85,33,64,36990,791080,3835.37,524288
119,1,400,0.375,0.01,0.05,0.4,15,61,49,87,53034,778353,3141.68,524288
120,1,400,0.375,0.01,0.05,0.5,5,102,44,76,46913,1124835,4925.32,524288
121,1,400,0.375,0.01,0.05,0.5,10,36,41,72,12740,363896,1563.55,524288
122,1,400,0.375,0.01,0.05,0.5,15,68,38,85,43006,764237,3428.99,524288
123,1,400,0.375,0.01,0.05,0.6,5,131,36,71,55039,1230704,5435.22,524288
124,1,400,0.375,0.01,0.05,0.6,10,54,45,88,26850,547551,2618.81,524288
125,1,400,0.375,0.01,0.05,0.6,15,35,44,80,12399,312431,1473.58,524288
126,1,400,0.5,0.01,0.05,0.4,5,90,33,73,34853,759346,3836.42,524288
127,1,400,0.5,0.01,0.05,0.4,10,52,44,83,21405,670757,2537.13,524288
128,1,400,0.5,0.01,0.05,0.4,15,39,48,76,34184,497667,1896.62,524288
129,1,400,0.5,0.01,0.05,0.5,5,43,34,62,17633,416671,1782.55,524288
130,1,400,0.5,0.01,0.05,0.5,10,56,41,75,33294,584233,2478.88,524288
131,1,400,0.5,0.01,0.05,0.5,15,66,51,97,43110,855783,3485.25,524288
132,1,400,0.5,0.01,0.05,0.6,5,53,34,62,14563,435796,1825.84,524288
133,1,400,0.5,0.01,0.05,0.6,10,32,40,62,9987,294354,1221.95,524288
134,1,400,0.5,0.01,0.05,0.6,15,44,45,71,26700,492866,2054.36,524288
135,0,450,0.25,0.01,0.05,0.4,5,117,0,0,62365,1261384,4998.71,524288
136,1,450,0.25,0.01,0.05,0.4,10,79,41,80,64331,925484,3700.55,524288
137,1,450,0.25,0.01,0.05,0.4,15,106,32,71,49663,1054513,4613.47,524288
138,1,450,0.25,0.01,0.05,0.5,5,42,40,69,12981,445916,1548.77,524288
139,1,450,0.25,0.01,0.05,0.5,10,70,36,86,39265,651782,3117.72,524288
140,1,450,0.25,0.01,0.05,0.5,15,74,40,78,27161,748531,2912.21,524288
141,1,450,0.25,0.01,0.05,0.6,5,41,34,69,13778,369279,1602.85,524288
142,1,450,0.25,0.01,0.05,0.6,10,51,39,71,17689,491721,1952.24,524288
143,1,450,0.25,0.01,0.05,0.6,15,72,40,82,35984,925466,3641.44,524288
144,1,450,0.375,0.01,0.05,0.4,5,60,30,66,35520,663020,2752.94,524288
145,1,450,0.375,0.01,0.05,0.4,10,65,33,71,30487,727038,2972.79,524288
146,1,450,0.375,0.01,0.05,0.4,15,80,35,73,30668,801521,3438.17,524288
147,1,450,0.375,0.01,0.05,0.5,5,99,35,63,49117,957657,3719.58,524288
148,1,450,0.375,0.01,0.05,0.5,10,43,38,78,14667,369859,1537.56,524288
149,1,450,0.375,0.01,0.05,0.5,15,40,37,72,16945,454999,1725.82,524288
150,1,450,0.375,0.01,0.05,0.6,5,52,33,63,22554,569393,2305.91,524288
151,0,450,0.375,0.01,0.05,0.6,10,97,0,0,74841,1263875,5104.68,524288
152,1,450,0.375,0.01,0.05,0.6,15,31,47,77,12177,365167,1330.49,524288
153,1,450,0.5,0.01,0.05,0.4,5,60,40,76,28387,767263,2866.66,524288
154,1,450,0.5,0.01,0.05,0.4,10,60,38,69,51287,828235,3051.12,524288
155,1,450,0.5,0.01,0.05,0.4,15,51,39,75,21685,618804,2277.42,524288
156,1,450,0.5,0.01,0.05,0.5,5,32,31,59,10192,259758,1084.27,524288
157,1,450,0.5,0.01,0.05,0.5,10,55,45,81,31361,544685,2141.87,524288
158,1,450,0.5,0.01,0.05,0.5,15,51,36,60,24940,534879,2089.42,524288
159,1,450,0.5,0.01,0.05,0.6,5,41,30,63,16700,378013,1463.94,524288
160,1,450,0.5,0.01,0.05,0.6,10,60,40,82,24029,724205,2894.78,524288
161,1,450,0.5,0.01,0.05,0.6,15,34,48,79,27132,354715,1407.1,524288
162,1,500,0.25,0.01,0.05,0.4,5,52,34,76,21752,510890,1949.87,524288
163,1,500,0.25,0.01,0.05,0.4,10,88,37,81,63046,959211,3819.62,524288
164,1,500,0.25,0.01,0.05,0.4,15,66,39,80,31789,881498,3244.56,524288
165,1,500,0.25,0.01,0.05,0.5,5,51,29,59,15076,399696,1599.96,524288
166,1,500,0.25,0.01,0.05,0.5,10,54,39,78,30394,741241,2615.26,524288
167,1,500,0.25,0.01,0.05,0.5,15,54,42,83,30116,736200,2468.63,524288
168,1,500,0.25,0.01,0.05,0.6,5,59,31,65,29939,724946,2655.34,524288
169,1,500,0.25,0.01,0.05,0.6,10,64,35,78,34702,707887,2724.76,524288
170,1,500,0.25,0.01,0.05,0.6,15,56,38,90,32894,802340,2994.04,524288
171,0,500,0.375,0.01,0.05,0.4,5,110,0,0,68837,1144218,4264.28,524288
172,1,500,0.375,0.01,0.05,0.4,10,35,48,82,15132,467222,1521.51,524288
173,1,500,0.375,0.01,0.05,0.4,15,63,42,89,56902,932712,3190.52,524288
174,1,500,0.375,0.01,0.05,0.5,5,47,35,67,18958,511841,1806.81,524288
175,1,500,0.375,0.01,0.05,0.5,10,48,37,68,28419,536226,2015.47,524288
176,1,500,0.375,0.01,0.05,0.5,15,43,37,75,15669,498466,1733.71,524288
177,0,500,0.375,0.01,0.05,0.6,5,113,0,0,61016,1288570,4545.94,524288
178,1,500,0.375,0.01,0.05,0.6,10,35,42,81,16034,423484,1425.2,524288
179,1,500,0.375,0.01,0.05,0.6,15,34,39,70,12132,398534,1411.93,524288
180,0,500,0.5,0.01,0.05,0.4,5,108,0,0,62983,1128059,4538.72,524288
181,1,500,0.5,0.01,0.05,0.4,10,67,38,69,34851,890107,3025.82,524288
182,1,500,0.5,0.01,0.05,0.4,15,36,45,75,19622,487978,1714.1,524288
183,1,500,0.5,0.01,0.05,0.5,5,65,34,70,32687,882987,3086.25,524288
184,1,500,0.5,0.01,0.05,0.5,10,38,41,74,20634,520801,1739.97,524288
185,1,500,0.5,0.01,0.05,0.5,15,70,36,70,46682,1020564,3470.46,524288
186,1,500,0.5,0.01,0.05,0.6,5,48,33,60,23672,611750,2034.79,524288
187,1,500,0.5,0.01,0.05,0.6,10,50,41,82,32705,707445,2420.59,524288
188,1,500,0.5,0.01,0.05,0.6,15,39,39,79,18905,548052,1771.53,524288
189,0,550,0.25,0.01,0.05,0.4,5,102,0,0,58941,1108006,4057.99,524288
190,1,550,0.25,0.01,0.05,0.4,10,51,35,83,18291,514364,1924.28,524288
191,0,550,0.25,0.01,0.05,0.4,15,85,0,0,44225,1287722,3894.81,524288
