id,completed,ants,randomJumpChance,evaporationRate,minIntensity,maxIntensity,moves,falls,jumps,time,totalTime
3,0,10,0.005,0.5,10,2000,1,35768,341817,103829,524288
3,0,10,0.005,0.5,10,2000,1,36613,256158,64846.8,524288
3,0,10,0.005,0.5,10,2000,1,38093,387480,90714.7,524288
3,0,10,0.005,0.5,10,2000,1,41090,385741,101403,524288
3,0,10,0.005,0.5,10,2000,1,39152,501987,111846,524288
3,0,10,0.005,0.5,10,2000,1,43139,275558,77316.5,524288
3,0,10,0.005,0.5,10,2000,1,42447,332786,94203.1,524288
3,0,10,0.005,0.5,10,2000,1,46956,358689,104342,524288
3,0,10,0.005,0.5,10,2000,1,28691,490090,124901,524288
3,0,10,0.005,0.5,10,2000,1,45052,386358,103299,524288
3,0,10,0.005,0.5,10,2000,1,47100,416662,97809.4,524288
3,0,10,0.005,0.5,10,2000,1,33029,357671,90055.1,524288
3,0,10,0.005,0.5,10,2000,1,35582,307190,73111.3,524288
3,0,10,0.005,0.5,10,2000,1,39015,372746,81028.9,524288
3,0,10,0.005,0.5,10,2000,1,34612,480723,110755,524288
3,0,10,0.005,0.5,10,2000,1,41408,241974,60206.8,524288
4,0,10,0.005,0.5,20,500,1,43716,285463,63528,524288
4,0,10,0.005,0.5,20,500,1,34103,240578,57286.6,524288
4,0,10,0.005,0.5,20,500,1,33352,233160,53713.8,524288
4,0,10,0.005,0.5,20,500,1,38474,342130,72743.2,524288
4,0,10,0.005,0.5,20,500,1,35021,269909,64432.4,524288
4,0,10,0.005,0.5,20,500,1,47070,261772,62993.9,524288
4,1,10,0.005,0.5,20,500,28,515,4875,985.766,9808.43
4,1,10,0.005,0.5,20,500,29,493,7357,1370.56,13628.2
4,0,10,0.005,0.5,20,500,1,23569,561190,82762.8,524288
4,0,10,0.005,0.5,20,500,1,36338,284952,64440.9,524288
4,0,10,0.005,0.5,20,500,1,46234,249376,68347.7,524288
4,1,10,0.005,0.5,20,500,26,1254,5459,1118.65,11127.7
4,0,10,0.005,0.5,20,500,1,46192,257007,60201.3,524288
4,1,10,0.005,0.5,20,500,27,1030,8142,1896.57,18995.1
4,0,10,0.005,0.5,20,500,1,62285,233095,52862.1,524288
4,0,10,0.005,0.5,20,500,1,85972,254642,45878.2,524288
4,0,10,0.005,0.5,20,500,1,58481,306375,61178.7,524288
4,0,10,0.005,0.5,20,500,1,40712,346083,74306.9,524288
4,0,10,0.005,0.5,20,500,1,44137,235281,54570.6,524288
4,0,10,0.005,0.5,20,500,1,39514,254754,60036.9,524288
4,0,10,0.005,0.5,20,500,1,44944,244855,59794.5,524288
4,0,10,0.005,0.5,20,500,1,39590,243817,64564.7,524288
4,0,10,0.005,0.5,20,500,1,41503,321005,71323.2,524288
4,0,10,0.005,0.5,20,500,1,37145,231342,54302.5,524288
5,0,10,0.005,0.5,20,1000,1,42797,245424,66583.6,524288
5,0,10,0.005,0.5,20,1000,1,41305,245980,61205.7,524288
5,0,10,0.005,0.5,20,1000,1,28203,271847,61213.1,524288
5,0,10,0.005,0.5,20,1000,1,38851,241328,59250.4,524288
5,0,10,0.005,0.5,20,1000,1,73624,236753,50157,524288
5,0,10,0.005,0.5,20,1000,1,84421,230444,44063.3,524288
5,1,10,0.005,0.5,20,1000,27,1318,6527,1370.29,13625.6
5,1,10,0.005,0.5,20,1000,25,1096,14710,3434.76,34992
5,0,10,0.005,0.5,20,1000,1,42670,297086,62830.4,524288
