id,completed,decision jumps,jump value,run value,jump moves,moves,falls,jumps,time,totalTime
108,0,6,10,0.725,0,0,113,276,51.9552,688.303
109,0,6,10,0.75,0,0,111,270,51.9385,677.416
110,0,6,10,0.775,0,0,45,138,21.5431,317.327
111,0,6,10,0.8,0,0,45,138,21.5431,317.327
112,0,6,10,0.825,0,0,44,138,21.3594,316.042
113,0,6,10,0.85,0,0,44,138,21.3594,316.042
114,0,6,10,0.875,0,0,45,144,21.5097,331.566
115,0,6,10,0.9,0,0,45,144,23.9814,335.389
116,0,6,10,0.925,0,0,48,144,24.9167,341.983
117,0,6,10,0.95,0,0,23,90,17.0673,205.082
118,0,6,10,0.975,0,0,24,90,17.0673,205.082
119,0,6,10,1,0,0,24,90,17.0673,205.082
120,1,8,10,0.025,26,97,1987,4800,194.182,11290.5
121,1,8,10,0.05,26,77,1511,3672,155.27,8681.5
122,1,8,10,0.075,26,62,1078,2512,129.246,6032.04
123,1,8,10,0.1,26,60,923,2184,123.251,5304.83
124,1,8,10,0.125,26,53,711,1704,108.788,4111.23
125,1,8,10,0.15,26,50,642,1560,104.646,3752.63
126,1,8,10,0.175,26,49,557,1360,102.208,3308.71
127,1,8,10,0.2,27,46,534,1248,93.874,3022.53
128,1,8,10,0.225,27,45,488,1128,94.2414,2805.85
129,1,8,10,0.25,26,44,467,1040,91.4023,2623.59
130,1,8,10,0.275,25,43,388,920,90.6842,2257.45
131,1,8,10,0.3,25,40,381,888,84.0206,2163.38
132,1,8,10,0.325,27,42,364,840,89.966,2061.61
133,1,8,10,0.35,26,38,324,784,80.7472,1911.55
134,0,8,10,0.375,0,0,190,464,51.237,1112.1
135,0,8,10,0.4,0,0,162,440,47.4627,1033.98
136,0,8,10,0.425,0,0,140,400,47.9303,919.724
137,0,8,10,0.45,0,0,86,272,26.3362,598.798
138,0,8,10,0.475,0,0,247,584,74.0836,1487.07
139,0,8,10,0.5,0,0,75,248,27.0042,546.068
140,0,8,10,0.525,0,0,65,224,27.0042,497.245
141,0,8,10,0.55,0,0,66,224,27.0042,497.245
142,0,8,10,0.575,0,0,46,176,21.2091,394.199
143,0,8,10,0.6,0,0,44,168,19.4221,380.677
144,0,8,10,0.625,0,0,45,168,15.1468,377.072
145,0,8,10,0.65,0,0,40,160,15.1468,356.489
146,0,8,10,0.675,0,0,205,480,69.9085,1257.16
147,0,8,10,0.7,0,0,57,200,17.7687,436.716
148,0,8,10,0.725,0,0,55,192,17.7687,420.641
149,0,8,10,0.75,0,0,20,104,11.0052,229.02
150,0,8,10,0.775,0,0,16,96,10.6044,206.635
151,0,8,10,0.8,0,0,13,96,11.2891,212.795
152,0,8,10,0.825,0,0,12,88,8.91774,191.461
153,0,8,10,0.85,0,0,12,88,8.91774,191.461
154,0,8,10,0.875,0,0,12,88,8.91774,191.461
155,0,8,10,0.9,0,0,12,88,8.91774,191.461
156,0,8,10,0.925,0,0,12,88,8.91774,191.461
157,0,8,10,0.95,0,0,12,88,8.91774,191.461
158,0,8,10,0.975,0,0,12,88,8.91774,191.461
159,0,8,10,1,0,0,26,104,16.7667,230.656
160,1,10,10,0.025,26,79,2338,5890,161.113,13584.4
161,1,10,10,0.05,26,67,1829,4560,136.307,10554
162,1,10,10,0.075,26,53,1281,3100,108.086,7274.32
163,1,10,10,0.1,26,52,1133,2760,107.201,6454.59
164,1,10,10,0.125,26,46,881,2168,94.3082,5129.87
165,1,10,10,0.15,26,44,802,1950,90.9848,4633.25
166,1,10,10,0.175,26,42,749,1740,88.9473,4207
167,1,10,10,0.2,26,41,673,1600,86.9766,3849.62
168,1,10,10,0.225,26,39,582,1390,81.3318,3357.4
169,1,10,10,0.25,27,40,543,1310,84.388,3160.72
170,1,10,10,0.275,26,37,494,1160,77.2568,2759.93
171,0,10,10,0.3,0,0,424,1070,76.5052,2510.67
172,1,10,10,0.325,28,40,487,1070,87.4943,2628.19
173,0,10,10,0.35,0,0,128,420,24.8833,896.478
174,0,10,10,0.375,0,0,111,400,22.1443,843.498
175,0,10,10,0.4,0,0,107,380,25.7851,802.475
176,0,10,10,0.425,0,0,99,350,26.1191,756.301
177,0,10,10,0.45,0,0,103,340,25.7851,732.57
178,0,10,10,0.475,0,0,82,310,24.282,652.447
179,0,10,10,0.5,0,0,80,310,24.282,658.886
180,0,10,10,0.525,0,0,88,310,27.8059,668.1
181,0,10,10,0.55,0,0,146,440,44.2561,1004.98
182,0,10,10,0.575,0,0,290,680,76.1378,1677.17
183,0,10,10,0.6,0,0,292,670,73.6661,1662.09
184,0,10,10,0.625,0,0,206,540,55.9466,1255.52
185,0,10,10,0.65,0,0,205,540,56.6648,1283.08
186,0,10,10,0.675,0,0,82,260,24.9334,578.345
187,0,10,10,0.7,0,0,70,250,20.7248,546.152
188,0,10,10,0.725,0,0,70,250,20.7081,546.219
189,0,10,10,0.75,0,0,71,250,18.537,546.152
190,0,10,10,0.775,0,0,68,240,18.5203,517.337
191,0,10,10,0.8,0,0,69,240,18.5203,520.648
192,0,10,10,0.825,0,0,17,120,11.3559,258.734
193,0,10,10,0.85,0,0,15,110,8.98454,232.659
194,0,10,10,0.875,0,0,15,110,8.98454,232.659
