id,ukoñczony poziom,agenci,prawdopodobieñstwo losowego skoku,wspó³czynnik uczenia,wspó³czynnik dyskontowy,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
15,1,25,0.01,0.1,0.3,0.05,0,25,47.82899081,2218,18193,1190.55
16,0,25,0.01,0.1,0.3,0.1,0,1,1.890719875,3178,26529,10277
16,0,25,0.01,0.1,0.3,0.1,0,1,1.955734323,15153,94479,10496.4
16,1,25,0.01,0.1,0.3,0.1,0,26,48.79049167,541,4168,324.355
16,1,25,0.01,0.1,0.3,0.1,0,25,48.29297087,2036,14182,1142.88
17,0,25,0.01,0.1,0.3,0.15,0,1,1.858938047,11741,88487,10188.2
17,0,25,0.01,0.1,0.3,0.15,0,1,1.949554177,17084,102317,10022.7
17,0,25,0.01,0.1,0.3,0.15,0,1,1.903452283,11339,60853,10618.4
17,0,25,0.01,0.1,0.3,0.15,0,1,1.946401177,20297,111048,9459.72
18,1,25,0.01,0.15,0.1,0.05,0,27,51.27000131,2185,15745,1050.9
18,0,25,0.01,0.15,0.1,0.05,0,1,1.987501865,20650,112440,8385.9
18,1,25,0.01,0.15,0.1,0.05,0,25,48.50127281,1158,10105,725.73
18,1,25,0.01,0.15,0.1,0.05,0,24,45.99010225,365,3606,296.628
19,0,25,0.01,0.15,0.1,0.1,0,1,1.984306522,9659,49569,10259.9
19,0,25,0.01,0.15,0.1,0.1,0,1,1.851930983,1459,10014,11446.6
19,0,25,0.01,0.15,0.1,0.1,0,1,1.88832986,7936,60774,9477.1
19,0,25,0.01,0.15,0.1,0.1,0,1,1.969816218,7211,42233,10802.4
20,0,25,0.01,0.15,0.1,0.15,0,1,1.879470162,8718,43591,11054.2
20,0,25,0.01,0.15,0.1,0.15,0,1,1.973239126,11823,62256,10215.4
20,0,25,0.01,0.15,0.1,0.15,0,1,1.99202648,6720,37149,11154.2
20,0,25,0.01,0.15,0.1,0.15,0,1,1.851791812,18468,97861,9756.62
21,1,25,0.01,0.15,0.2,0.05,0,25,48.43237397,8252,81658,5631.58
21,1,25,0.01,0.15,0.2,0.05,0,26,49.72818086,14644,97040,8240.02
21,1,25,0.01,0.15,0.2,0.05,0,27,50.3254202,9893,59689,5461.03
21,1,25,0.01,0.15,0.2,0.05,0,25,48.8589729,1212,12492,882.364
22,0,25,0.01,0.15,0.2,0.1,0,1,1.979100486,19004,119159,9325.83
22,0,25,0.01,0.15,0.2,0.1,0,1,1.992469383,11884,72957,11342.2
22,1,25,0.01,0.15,0.2,0.1,0,23,44.39716125,4469,34252,4204.59
22,1,25,0.01,0.15,0.2,0.1,0,25,49.29691182,2159,14059,1489.6
23,0,25,0.01,0.15,0.2,0.15,0,1,1.897863229,14260,74109,10057.9
23,1,25,0.01,0.15,0.2,0.15,0,23,42.94405142,3917,25766,2007.8
23,0,25,0.01,0.15,0.2,0.15,0,1,1.896299059,21165,117528,9916.83
23,0,25,0.01,0.15,0.2,0.15,0,1,1.963630057,7270,54068,10843.6
24,1,25,0.01,0.15,0.3,0.05,0,24,45.21923589,940,7677,550.684
24,0,25,0.01,0.15,0.3,0.05,0,1,1.92796185,6323,62387,9038.22
24,1,25,0.01,0.15,0.3,0.05,0,25,49.00177025,2045,15867,1122.38
24,1,25,0.01,0.15,0.3,0.05,0,25,47.12699015,3318,31337,2120.68
25,1,25,0.01,0.15,0.3,0.1,0,24,46.52458463,2181,19413,1456
25,0,25,0.01,0.15,0.3,0.1,0,1,1.856411042,15921,104841,8858.18
25,0,25,0.01,0.15,0.3,0.1,0,1,1.995871451,11081,81960,9502.57
25,1,25,0.01,0.15,0.3,0.1,0,24,45.31981487,1757,13767,1001.72
26,0,25,0.01,0.15,0.3,0.15,0,1,1.856192714,3356,22346,10922.3
26,0,25,0.01,0.15,0.3,0.15,0,1,1.973185507,6809,35324,11394.8
26,0,25,0.01,0.15,0.3,0.15,0,1,1.976654581,17330,92037,10187.1
26,0,25,0.01,0.15,0.3,0.15,0,1,1.961807105,16514,87454,10085.3
27,1,50,0.01,0.05,0.1,0.05,0,23,44.43293436,11187,90684,3678.27
27,1,50,0.01,0.05,0.1,0.05,0,23,42.80186166,4584,30355,1036.51
27,1,50,0.01,0.05,0.1,0.05,0,24,47.75308867,949,9301,319.647
27,1,50,0.01,0.05,0.1,0.05,0,26,51.43128525,503,5485,200.909
28,1,50,0.01,0.05,0.1,0.1,0,26,49.01580674,2766,14438,526.736
28,0,50,0.01,0.05,0.1,0.1,0,1,1.88687896,15502,114834,4406.29
28,1,50,0.01,0.05,0.1,0.1,0,25,47.73477699,5329,39698,1405.96
28,1,50,0.01,0.05,0.1,0.1,0,22,42.75808312,4166,30642,1191.47
29,0,50,0.01,0.05,0.1,0.15,0,1,1.87703269,13635,88192,4621.34
29,0,50,0.01,0.05,0.1,0.15,0,1,1.901116756,18588,107630,4551.33
29,1,50,0.01,0.05,0.1,0.15,0,23,43.01919654,9944,76807,3715.43
29,1,50,0.01,0.05,0.1,0.15,0,21,41.24579023,8573,53514,2126.54
30,1,50,0.01,0.05,0.2,0.05,0,22,42.23557236,4380,35790,1241.67
30,1,50,0.01,0.05,0.2,0.05,0,25,47.01518162,6125,53680,1818.3
30,1,50,0.01,0.05,0.2,0.05,0,24,45.30878124,10332,81742,2628.97
30,1,50,0.01,0.05,0.2,0.05,0,21,39.87029124,3827,28654,1735.69
31,1,50,0.01,0.05,0.2,0.1,0,25,46.65969001,1689,14855,518.307
31,0,50,0.01,0.05,0.2,0.1,0,1,1.866257291,9792,82179,4631.98
31,1,50,0.01,0.05,0.2,0.1,0,24,45.01300752,6915,46929,1659.39
31,1,50,0.01,0.05,0.2,0.1,0,22,41.91484741,2013,15499,581.773
32,0,50,0.01,0.05,0.2,0.15,0,1,1.996947667,7850,53118,4901.61
32,0,50,0.01,0.05,0.2,0.15,0,1,1.874445387,11913,72648,4648.79
32,1,50,0.01,0.05,0.2,0.15,0,21,41.21893893,11875,77121,4300.77
32,0,50,0.01,0.05,0.2,0.15,0,1,1.89426408,17602,107083,4520.94
33,0,50,0.01,0.05,0.3,0.05,0,1,1.854242911,6338,48559,4826.27
33,1,50,0.01,0.05,0.3,0.05,0,27,49.96600123,940,10486,371.93
33,1,50,0.01,0.05,0.3,0.05,0,25,49.3372524,2990,29974,1054.42
33,1,50,0.01,0.05,0.3,0.05,0,25,47.78794908,1478,12753,445.43
