id,ukoñczony poziom,rozmiar populacji,elityzm,zmiana wspó³czynnika mutacji,maksymalna wartoœæ wspó³czynnika mutacji,turniej,wspó³czynnik wp³ywu odwiedzonych platform,generacje,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
63,0,300,0.375,0.01,0.05,0.4,5,171,0,0,0,0,58920,1268931,7324.16
64,1,300,0.375,0.01,0.05,0.4,10,111,89,0,44,81.95059017,33358,837862,5428.39
65,0,300,0.375,0.01,0.05,0.4,15,150,0,0,0,0,59974,1219975,7490.72
66,1,300,0.375,0.01,0.05,0.5,5,139,83,0,34,60.13615676,79592,945242,6229.1
67,1,300,0.375,0.01,0.05,0.5,10,65,84,0,37,69.19712065,15856,447037,2699.86
68,1,300,0.375,0.01,0.05,0.5,15,106,73,0,38,73.78249949,33537,873641,4899.54
69,1,300,0.375,0.01,0.05,0.6,5,98,67,0,33,55.91332709,28496,634921,4076.38
70,1,300,0.375,0.01,0.05,0.6,10,58,89,0,48,93.11352514,17783,440088,2515.09
71,1,300,0.375,0.01,0.05,0.6,15,75,70,0,32,56.6126922,30791,574380,3404.9
72,1,300,0.5,0.01,0.05,0.4,5,76,76,0,33,61.83518419,22634,599796,3787.63
73,1,300,0.5,0.01,0.05,0.4,10,65,69,0,38,75.00347666,32317,518539,3021.72
74,1,300,0.5,0.01,0.05,0.4,15,83,105,0,46,74.38716835,33156,857893,4883.56
75,0,300,0.5,0.01,0.05,0.5,5,198,0,0,0,0,74396,1385472,9122.04
76,1,300,0.5,0.01,0.05,0.5,10,35,67,0,35,63.42980957,8283,221444,1428.07
77,1,300,0.5,0.01,0.05,0.5,15,110,102,0,44,85.4474506,53522,1048097,6034
78,1,300,0.5,0.01,0.05,0.6,5,146,79,0,35,58.33138486,51342,1252504,7542.89
79,1,300,0.5,0.01,0.05,0.6,10,48,77,0,45,89.58944288,14615,440644,2096.73
80,1,300,0.5,0.01,0.05,0.6,15,85,90,0,42,78.69324994,26248,751987,4568.15
81,0,350,0.25,0.01,0.05,0.4,5,144,0,0,0,0,57375,1169873,6443.96
82,1,350,0.25,0.01,0.05,0.4,10,71,82,0,40,75.04027241,19466,653960,3183.03
83,1,350,0.25,0.01,0.05,0.4,15,61,73,0,37,65.94579755,17577,557791,2715.58
84,0,350,0.25,0.01,0.05,0.5,5,170,0,0,0,0,57326,1189497,6415.56
85,0,350,0.25,0.01,0.05,0.5,10,122,0,0,0,0,71323,1148002,6158.28
86,0,350,0.25,0.01,0.05,0.5,15,129,0,0,0,0,46844,1149218,5750.18
87,0,350,0.25,0.01,0.05,0.6,5,178,0,0,0,0,91094,1166864,6243.23
88,1,350,0.25,0.01,0.05,0.6,10,87,90,0,41,78.99722454,57604,817042,4260.41
89,1,350,0.25,0.01,0.05,0.6,15,40,69,0,36,63.45108824,12424,294563,1418.31
90,0,350,0.375,0.01,0.05,0.4,5,161,0,0,0,0,69236,1109538,6311.9
91,1,350,0.375,0.01,0.05,0.4,10,80,83,0,38,65.22845911,32857,747761,3863.73
92,1,350,0.375,0.01,0.05,0.4,15,76,84,0,39,77.20900417,22657,710496,3732.54
93,1,350,0.375,0.01,0.05,0.5,5,38,63,0,33,62.62201363,7861,210804,1111.8
94,1,350,0.375,0.01,0.05,0.5,10,60,81,0,43,83.33646367,19262,538999,2551.54
95,1,350,0.375,0.01,0.05,0.5,15,50,63,0,34,64.37217909,15271,384789,1788.92
96,1,350,0.375,0.01,0.05,0.6,5,49,60,0,32,54.98295453,13937,389927,1877.54
97,1,350,0.375,0.01,0.05,0.6,10,86,74,0,38,72.88593503,34504,910866,4342.07
98,1,350,0.375,0.01,0.05,0.6,15,49,94,0,50,99.942659,22178,559640,2648.43
99,1,350,0.5,0.01,0.05,0.4,5,56,86,0,47,92.77358163,19718,728034,2907.99
100,1,350,0.5,0.01,0.05,0.4,10,30,72,0,46,85.73266383,21474,304346,1423.67
101,1,350,0.5,0.01,0.05,0.4,15,58,80,0,38,67.01686454,18937,530513,2593.28
102,1,350,0.5,0.01,0.05,0.5,5,123,71,0,36,64.6836991,59638,1106902,5334.7
103,1,350,0.5,0.01,0.05,0.5,10,93,66,0,38,69.36768731,41977,749227,4148.75
104,1,350,0.5,0.01,0.05,0.5,15,59,71,0,35,61.34087241,20131,536111,2537.83
105,1,350,0.5,0.01,0.05,0.6,5,31,66,0,34,54.83583446,9129,249555,1245.53
106,1,350,0.5,0.01,0.05,0.6,10,47,78,0,38,75.61036176,15693,435060,2141.22
107,1,350,0.5,0.01,0.05,0.6,15,65,87,0,42,78.45522341,27213,719638,3711.94
108,1,400,0.25,0.01,0.05,0.4,5,83,72,0,35,69.77946285,36674,743246,3597.96
109,1,400,0.25,0.01,0.05,0.4,10,80,76,0,39,76.63981778,37141,802419,3670.01
110,1,400,0.25,0.01,0.05,0.4,15,96,73,0,36,65.2844071,47719,1046135,4588.04
111,1,400,0.25,0.01,0.05,0.5,5,74,84,0,35,63.84078179,29752,661093,3479.77
112,1,400,0.25,0.01,0.05,0.5,10,48,64,0,36,64.72977128,13536,351310,1725.97
113,1,400,0.25,0.01,0.05,0.5,15,58,72,0,37,62.58798451,20386,569350,2547.16
114,0,400,0.25,0.01,0.05,0.6,5,123,0,0,0,0,48177,1081564,5212.64
115,1,400,0.25,0.01,0.05,0.6,10,80,62,0,34,60.52980903,27586,715056,3213.41
116,1,400,0.25,0.01,0.05,0.6,15,37,76,0,44,84.63670739,14258,366112,1517.59
117,0,400,0.375,0.01,0.05,0.4,5,136,0,0,0,0,63293,1147678,5380.17
118,1,400,0.375,0.01,0.05,0.4,10,85,64,0,33,63.14897447,36990,791080,3835.37
119,1,400,0.375,0.01,0.05,0.4,15,61,87,0,49,79.06657427,53034,778353,3141.68
120,1,400,0.375,0.01,0.05,0.5,5,102,76,0,44,77.12444183,46913,1124835,4925.32
121,1,400,0.375,0.01,0.05,0.5,10,36,72,0,41,66.97103448,12740,363896,1563.55
122,1,400,0.375,0.01,0.05,0.5,15,68,85,0,38,65.1569908,43006,764237,3428.99
123,1,400,0.375,0.01,0.05,0.6,5,131,71,0,36,64.74324879,55039,1230704,5435.22
124,1,400,0.375,0.01,0.05,0.6,10,54,88,0,45,79.20743402,26850,547551,2618.81
125,1,400,0.375,0.01,0.05,0.6,15,35,80,0,44,85.21298751,12399,312431,1473.58
126,1,400,0.5,0.01,0.05,0.4,5,90,73,0,33,64.37764424,34853,759346,3836.42
127,1,400,0.5,0.01,0.05,0.4,10,52,83,0,44,79.86997075,21405,670757,2537.13
128,1,400,0.5,0.01,0.05,0.4,15,39,76,0,48,90.66682663,34184,497667,1896.62
129,1,400,0.5,0.01,0.05,0.5,5,43,62,0,34,61.82691376,17633,416671,1782.55
130,1,400,0.5,0.01,0.05,0.5,10,56,75,0,41,66.0872163,33294,584233,2478.88
131,1,400,0.5,0.01,0.05,0.5,15,66,97,0,51,97.84325975,43110,855783,3485.25
132,1,400,0.5,0.01,0.05,0.6,5,53,62,0,34,58.47605894,14563,435796,1825.84
133,1,400,0.5,0.01,0.05,0.6,10,32,62,0,40,77.19036286,9987,294354,1221.95
134,1,400,0.5,0.01,0.05,0.6,15,44,71,0,45,89.8373879,26700,492866,2054.36
135,0,450,0.25,0.01,0.05,0.4,5,117,0,0,0,0,62365,1261384,4998.71
136,1,450,0.25,0.01,0.05,0.4,10,79,80,0,41,66.97613476,64331,925484,3700.55
137,1,450,0.25,0.01,0.05,0.4,15,106,71,0,32,60.43080695,49663,1054513,4613.47
